id,date,day_of_week,day_of_month,day_of_year,holiday,num_sold
20,2010-01-01,4,1,1,1,311.0
110,2010-01-02,5,2,2,0,287.0
200,2010-01-03,6,3,3,0,308.0
290,2010-01-04,0,4,4,0,239.0
380,2010-01-05,1,5,5,0,227.0
470,2010-01-06,2,6,6,1,231.0
560,2010-01-07,3,7,7,0,198.0
650,2010-01-08,4,8,8,0,224.0
740,2010-01-09,5,9,9,0,223.0
830,2010-01-10,6,10,10,0,255.0
920,2010-01-11,0,11,11,0,210.0
1010,2010-01-12,1,12,12,0,199.0
1100,2010-01-13,2,13,13,0,193.0
1190,2010-01-14,3,14,14,0,193.0
1280,2010-01-15,4,15,15,0,191.0
1370,2010-01-16,5,16,16,0,201.0
1460,2010-01-17,6,17,17,0,221.0
1550,2010-01-18,0,18,18,0,189.0
1640,2010-01-19,1,19,19,0,194.0
1730,2010-01-20,2,20,20,0,195.0
1820,2010-01-21,3,21,21,0,201.0
1910,2010-01-22,4,22,22,0,190.0
2000,2010-01-23,5,23,23,0,222.0
2090,2010-01-24,6,24,24,0,231.0
2180,2010-01-25,0,25,25,0,199.0
2270,2010-01-26,1,26,26,0,182.0
2360,2010-01-27,2,27,27,0,179.0
2450,2010-01-28,3,28,28,0,192.0
2540,2010-01-29,4,29,29,0,185.0
2630,2010-01-30,5,30,30,0,231.0
2720,2010-01-31,6,31,31,0,252.0
2810,2010-02-01,0,1,32,0,183.0
2900,2010-02-02,1,2,33,0,188.0
2990,2010-02-03,2,3,34,0,188.0
3080,2010-02-04,3,4,35,0,187.0
3170,2010-02-05,4,5,36,0,192.0
3260,2010-02-06,5,6,37,0,220.0
3350,2010-02-07,6,7,38,0,247.0
3440,2010-02-08,0,8,39,0,176.0
3530,2010-02-09,1,9,40,0,193.0
3620,2010-02-10,2,10,41,0,196.0
3710,2010-02-11,3,11,42,0,182.0
3800,2010-02-12,4,12,43,0,177.0
3890,2010-02-13,5,13,44,0,215.0
3980,2010-02-14,6,14,45,0,205.0
4070,2010-02-15,0,15,46,0,192.0
4160,2010-02-16,1,16,47,0,192.0
4250,2010-02-17,2,17,48,0,170.0
4340,2010-02-18,3,18,49,0,181.0
4430,2010-02-19,4,19,50,0,189.0
4520,2010-02-20,5,20,51,0,204.0
4610,2010-02-21,6,21,52,0,239.0
4700,2010-02-22,0,22,53,0,184.0
4790,2010-02-23,1,23,54,0,170.0
4880,2010-02-24,2,24,55,0,185.0
4970,2010-02-25,3,25,56,0,174.0
5060,2010-02-26,4,26,57,0,195.0
5150,2010-02-27,5,27,58,0,206.0
5240,2010-02-28,6,28,59,0,232.0
5330,2010-03-01,0,1,60,0,180.0
5420,2010-03-02,1,2,61,0,198.0
5510,2010-03-03,2,3,62,0,171.0
