id,date,country,store,product,num_sold
71,2010-01-01,Norway,Premium Sticker Mart,Kaggle,3940.0
161,2010-01-02,Norway,Premium Sticker Mart,Kaggle,3915.0
251,2010-01-03,Norway,Premium Sticker Mart,Kaggle,4541.0
341,2010-01-04,Norway,Premium Sticker Mart,Kaggle,3303.0
431,2010-01-05,Norway,Premium Sticker Mart,Kaggle,3008.0
521,2010-01-06,Norway,Premium Sticker Mart,Kaggle,3118.0
611,2010-01-07,Norway,Premium Sticker Mart,Kaggle,2853.0
701,2010-01-08,Norway,Premium Sticker Mart,Kaggle,2966.0
791,2010-01-09,Norway,Premium Sticker Mart,Kaggle,3261.0
881,2010-01-10,Norway,Premium Sticker Mart,Kaggle,3540.0
971,2010-01-11,Norway,Premium Sticker Mart,Kaggle,2560.0
1061,2010-01-12,Norway,Premium Sticker Mart,Kaggle,2697.0
1151,2010-01-13,Norway,Premium Sticker Mart,Kaggle,2719.0
1241,2010-01-14,Norway,Premium Sticker Mart,Kaggle,2920.0
1331,2010-01-15,Norway,Premium Sticker Mart,Kaggle,2748.0
1421,2010-01-16,Norway,Premium Sticker Mart,Kaggle,3157.0
1511,2010-01-17,Norway,Premium Sticker Mart,Kaggle,3276.0
1601,2010-01-18,Norway,Premium Sticker Mart,Kaggle,2712.0
1691,2010-01-19,Norway,Premium Sticker Mart,Kaggle,2621.0
1781,2010-01-20,Norway,Premium Sticker Mart,Kaggle,2638.0
1871,2010-01-21,Norway,Premium Sticker Mart,Kaggle,2681.0
1961,2010-01-22,Norway,Premium Sticker Mart,Kaggle,2808.0
2051,2010-01-23,Norway,Premium Sticker Mart,Kaggle,3083.0
2141,2010-01-24,Norway,Premium Sticker Mart,Kaggle,3385.0
2231,2010-01-25,Norway,Premium Sticker Mart,Kaggle,2734.0
2321,2010-01-26,Norway,Premium Sticker Mart,Kaggle,2814.0
2411,2010-01-27,Norway,Premium Sticker Mart,Kaggle,2701.0
2501,2010-01-28,Norway,Premium Sticker Mart,Kaggle,2826.0
2591,2010-01-29,Norway,Premium Sticker Mart,Kaggle,2824.0
2681,2010-01-30,Norway,Premium Sticker Mart,Kaggle,2932.0
2771,2010-01-31,Norway,Premium Sticker Mart,Kaggle,3200.0
2861,2010-02-01,Norway,Premium Sticker Mart,Kaggle,2559.0
2951,2010-02-02,Norway,Premium Sticker Mart,Kaggle,2848.0
3041,2010-02-03,Norway,Premium Sticker Mart,Kaggle,2802.0
3131,2010-02-04,Norway,Premium Sticker Mart,Kaggle,2584.0
3221,2010-02-05,Norway,Premium Sticker Mart,Kaggle,2954.0
3311,2010-02-06,Norway,Premium Sticker Mart,Kaggle,2723.0
3401,2010-02-07,Norway,Premium Sticker Mart,Kaggle,3360.0
3491,2010-02-08,Norway,Premium Sticker Mart,Kaggle,2566.0
3581,2010-02-09,Norway,Premium Sticker Mart,Kaggle,2784.0
3671,2010-02-10,Norway,Premium Sticker Mart,Kaggle,2819.0
3761,2010-02-11,Norway,Premium Sticker Mart,Kaggle,2829.0
3851,2010-02-12,Norway,Premium Sticker Mart,Kaggle,2732.0
3941,2010-02-13,Norway,Premium Sticker Mart,Kaggle,2965.0
4031,2010-02-14,Norway,Premium Sticker Mart,Kaggle,3317.0
4121,2010-02-15,Norway,Premium Sticker Mart,Kaggle,2672.0
4211,2010-02-16,Norway,Premium Sticker Mart,Kaggle,2786.0
4301,2010-02-17,Norway,Premium Sticker Mart,Kaggle,2813.0
4391,2010-02-18,Norway,Premium Sticker Mart,Kaggle,2761.0
4481,2010-02-19,Norway,Premium Sticker Mart,Kaggle,2782.0
4571,2010-02-20,Norway,Premium Sticker Mart,Kaggle,3273.0
4661,2010-02-21,Norway,Premium Sticker Mart,Kaggle,3084.0
4751,2010-02-22,Norway,Premium Sticker Mart,Kaggle,2814.0
4841,2010-02-23,Norway,Premium Sticker Mart,Kaggle,2802.0
4931,2010-02-24,Norway,Premium Sticker Mart,Kaggle,2740.0
5021,2010-02-25,Norway,Premium Sticker Mart,Kaggle,2707.0
5111,2010-02-26,Norway,Premium Sticker Mart,Kaggle,2786.0
5201,2010-02-27,Norway,Premium Sticker Mart,Kaggle,2939.0
5291,2010-02-28,Norway,Premium Sticker Mart,Kaggle,3171.0
5381,2010-03-01,Norway,Premium Sticker Mart,Kaggle,2769.0
5471,2010-03-02,Norway,Premium Sticker Mart,Kaggle,2581.0
5561,2010-03-03,Norway,Premium Sticker Mart,Kaggle,2553.0
